SchoolItem1,relation,SchoolItem2
郑天翔,educated at,清华大学
施一公,employer,清华大学
阎学通,employer,清华大学
阎学通,educated at,国际关系学院
清华大学法学院,part of,清华大学
邱勇,educated at,清华大学
陈志华,educated at,清华大学
施一公,educated at,清华大学
朱良志,educated at,安徽师范大学
周飞舟,employer,北京大学
文兰,educated at,北京大学
雒建斌,educated at,东北大学
欧阳明高,educated at,中南大学
赵元任,employer,清华大学
袁行霈,employer,北京大学
李零,employer,北京大学
王立新,educated at,山东大学
吴崇试,employer,北京大学
叶自成,educated at,北京大学
章士钊,employer,北京大学
吴崇试,educated at,北京大学
赵元任,educated at,清华大学
王庚年,educated at,北京大学
王德炳,educated at,北京大学医学部
吴传喜,educated at,北京大学
王澍寰,educated at,北京大学
王月丹,educated at,苏州大学
吴志攀,educated at,北京大学
赵乃抟,employer,北京大学
袁行霈,educated at,北京大学
赵理海,employer,北京大学
曲绵域,educated at,北京大学
孙东东,employer,北京大学
丘维声,educated at,北京大学
孙凝晖,educated at,北京大学
谢家麟,educated at,北京大学
郑张尚芳,employer,上海师范大学
苏秉琦,employer,北京大学
唐有祺,employer,北京大学
赵乃抟,educated at,北京大学
苏秉琦,educated at,北京师范大学
浦江清,educated at,东南大学
潘梓年,educated at,北京大学
吴德昌,educated at,北京大学
唐有祺,educated at,同济大学
李义虎,educated at,北京大学
刘凯欣,educated at,北京大学
闵嗣鹤,employer,清华大学
吴稼祥,educated at,北京大学
黄益平,educated at,中国人民大学
李重庵,educated at,北京大学
林天强,educated at,北京大学
穆拉图·特肖梅,educated at,北京大学
闵嗣鹤,employer,北京大学
黄益平,educated at,浙江大学
闵嗣鹤,educated at,北京师范大学
千家驹,educated at,北京大学
范达人,educated at,北京大学
北京大学教育评论,publisher,北京大学
冯新德,educated at,清华大学
高小霞,employer,北京大学
废名,educated at,北京大学
胡代光,educated at,北京大学
冯新德,educated at,浙江大学
北京大学中国经济研究中心,educated at,华中科技大学
高小霞,educated at,上海交通大学
北京大学中国经济研究中心,educated at,北京大学
阿忆,educated at,北京大学
安静娴,educated at,北京大学
张闳,employer,同济大学
马在田,employer,同济大学
张闳,educated at,华东师范大学
朱大可,employer,同济大学
李同保,employer,同济大学
郭重庆,employer,同济大学
李荣兴,educated at,同济大学
李同保,educated at,同济大学
郭重庆,educated at,哈尔滨工业大学
朱大可,educated at,华东师范大学
郑楚光,employer,华中科技大学
陈家琪,employer,同济大学
陈家琪,educated at,武汉大学
李培根,employer,华中科技大学
陈家琪,educated at,华中科技大学
范立础,employer,同济大学
红凌,place of death,武汉协和医院
丁汉,employer,华中科技大学
范立础,educated at,同济大学
王殊,educated at,复旦大学
倪以信,educated at,清华大学
王占国,educated at,南开大学
陈蕴博,educated at,浙江大学
陈茹玉,spouse,何炳林
印象初,educated at,河北大学
宋礼成,educated at,南开大学
何炳林,spouse,陈茹玉
周其林,educated at,兰州大学
红凌,employer,华中科技大学
何炳林,employer,南开大学
红凌,educated at,武汉大学
何炳林,employer,山东大学
黄其励,educated at,东南大学
段正澄,employer,华中科技大学
吴海鹰,educated at,同济大学
陈义,employer,南京大学
陈义,educated at,厦门大学
丁学良,educated at,复旦大学
邹恒甫,educated at,武汉大学
崔占峰,educated at,大连理工大学
张经,educated at,南京大学
张民选,educated at,安徽师范大学
严重敏,educated at,南京大学
徐元森,educated at,浙江大学
陈吉余,educated at,浙江大学
茅海建,educated at,华东师范大学
麻生明,employer,浙江大学
茅海建,educated at,中山大学
王新奎,educated at,华东师范大学
陈嘉映,employer,北京大学
谭久彬,educated at,哈尔滨工业大学
陈嘉映,educated at,北京大学
周君亮,educated at,复旦大学
段雪,educated at,吉林大学
韩喜江,employer,哈尔滨工业大学
尤宏,educated at,中国文化大学
韩喜江,employer,东北农业大学
褚君浩,educated at,上海师范大学
韩喜江,educated at,哈尔滨工业大学
陈厚群,educated at,清华大学
梁应辰,educated at,清华大学
熊有伦,employer,华中科技大学
王迎军,educated at,华南理工大学
吴硕贤,educated at,清华大学
涂善东,educated at,南京工业大学
汪集旸,educated at,中国地质大学
席酉民,employer,西交利物浦大学
徐鹰,educated at,吉林大学
汪应洛,educated at,哈尔滨工业大学
包为民,educated at,西安电子科技大学
陈克复,educated at,复旦大学
林忠钦,educated at,上海交通大学
王威琪,employer,复旦大学
王威琪,educated at,复旦大学
曹进德,educated at,云南大学
朱利中,employer,浙江大学
冯纯伯,educated at,哈尔滨工业大学
陶思炎,educated at,东南大学
曹进德,educated at,四川大学
冯纯伯,educated at,浙江大学
陶思炎,educated at,北京师范大学
曹进德,educated at,安徽师范大学
赵沁平,educated at,南京大学
张钟俊,employer,上海交通大学
周健民,educated at,南京大学
崔铁军,employer,东南大学
于刚,educated at,北京师范大学
殷鸿福,educated at,中国地质大学
相建海,educated at,南开大学
叶嘉安,educated at,香港大学
张钟俊,educated at,上海交通大学
崔铁军,educated at,西安电子科技大学
汪成为,educated at,北京师范大学
杨叔子,educated at,武汉大学
章新胜,educated at,浙江大学
吴岳良,educated at,南京大学
杨叔子,educated at,华中科技大学
王康隆,employer,香港科技大学
田在艺,educated at,南京大学
许嘉璐,educated at,北京师范大学
殷承宗,educated at,中央音乐学院
王如松,educated at,安徽师范大学
叶笃正,educated at,清华大学
叶笃正,educated at,浙江大学
马蔚华,educated at,吉林大学
马蔚华,educated at,西南财经大学
李德毅,educated at,东南大学
齐康,employer,东南大学
马岳,educated at,香港中文大学
饶子和,employer,清华大学
李吉均,employer,兰州大学
齐康,educated at,南京大学
林励吾,educated at,浙江大学
侯朝焕,educated at,北京大学
李崇银,educated at,中国科学技术大学
吕达仁,educated at,北京大学
裘锡圭,employer,北京大学
毛如柏,educated at,南京大学
齐康,educated at,东南大学
李吉均,educated at,南京大学
裘锡圭,employer,复旦大学
秦大河,educated at,兰州大学
符淙斌,educated at,南京大学
梁保华,educated at,复旦大学
裘锡圭,educated at,复旦大学
饶子和,educated at,中国科学技术大学
冯淑萍,employer,厦门大学
乐黛云,educated at,北京大学
贾承造,educated at,南京大学
洪德元,educated at,复旦大学
戴金星,educated at,南京大学
甘子钊,educated at,北京大学
邓起东,educated at,中南大学
张淑仪,educated at,南京大学
张永桃,educated at,复旦大学
祝世宁,educated at,南京大学
赵其国,educated at,武汉大学
邹德慈,educated at,同济大学
谭仁祥,educated at,兰州大学
谈哲敏,educated at,南京大学
张仁和,educated at,北京大学
薛禹群,educated at,西南交通大学
王德滋,educated at,南京大学
王广厚,educated at,北京师范大学
苏定强,educated at,南京大学
沈学础,educated at,复旦大学
王金南,educated at,清华大学
伍荣生,educated at,南京大学
钱乘旦,educated at,南京大学
莫砺锋,educated at,南京大学
陆延青,educated at,南京大学
王业宁,employer,南京大学
胡阿祥,educated at,南京大学
夏志宏,educated at,南京大学
赖永海,educated at,南京大学
王业宁,educated at,南京大学
任美锷,employer,浙江大学
曲钦岳,employer,南京大学
龚昌德,educated at,复旦大学
闵乃本,employer,南京大学
胡有清,educated at,南京大学
洪银兴,educated at,中国人民大学
郭令智,educated at,南京大学
陆埮,educated at,北京大学
任美锷,employer,复旦大学
曲钦岳,educated at,南京大学
冯端,employer,南京大学
任美锷,employer,南京大学
顾肃,employer,南京大学
贲德,educated at,哈尔滨工业大学
顾肃,educated at,南京大学
冯端,educated at,南京大学
都有为,educated at,南京大学
闵乃本,educated at,南京大学
常印佛,educated at,清华大学
闵乃本,educated at,东北大学
任美锷,educated at,南京大学
程崇庆,educated at,西北工业大学
程崇庆,educated at,东南大学
林浩然,educated at,中山大学
苏树辉,educated at,香港大学
曾溢滔,educated at,复旦大学
张欣欣,employer,北京科技大学
张祥,educated at,安徽师范大学
罗曼,said to be the same as,罗曼
周孝信,educated at,清华大学
曾凡一,employer,上海交通大学
黄民,educated at,北京交通大学
项坤三,educated at,复旦大学
盛政明,employer,上海交通大学
杜长明,educated at,清华大学
罗曼,said to be the same as,罗曼
饶芳权,educated at,哈尔滨工业大学
童之伟,employer,武汉大学
周尧和,employer,上海交通大学
童之伟,educated at,武汉大学
石钟慈,employer,浙江大学
毛军发,employer,上海交通大学
石钟慈,employer,上海交通大学
周尧和,educated at,清华大学
阮雪榆,employer,上海交通大学
汪玉,educated at,上海交通大学
李儒新,educated at,天津大学
石钟慈,educated at,复旦大学
陈新滋,employer,香港理工大学
任阵海,educated at,北京大学
石钟慈,educated at,浙江大学
阮雪榆,educated at,上海交通大学
杨小牛,educated at,西安电子科技大学
徐更光,employer,北京理工大学
阮雪榆,educated at,清华大学
吴皓,educated at,北京大学
周新城,employer,中国人民大学
刘永坦,educated at,哈尔滨工业大学
李建国,educated at,山东大学
董海山,employer,北京理工大学
范伯元,employer,北京理工大学
刘永坦,educated at,清华大学
杨瑞龙,educated at,南京大学
展涛,employer,山东大学
范伯元,educated at,清华大学
杨瑞龙,educated at,中国人民大学
展涛,educated at,山东大学
杨潮,educated at,清华大学
